Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,52.720001,53.000000,52.459999,52.959999,52.383709,1081400
2020-01-03,52.450001,52.810001,52.279999,52.759998,52.185894,829300
2020-01-06,52.380001,52.540001,52.020000,52.080002,51.513287,786600
2020-01-07,51.970001,52.299999,51.810001,51.840000,51.275902,759500
2020-01-08,52.049999,52.580002,51.799999,51.849998,51.285789,904800
2020-01-09,52.200001,52.720001,52.029999,52.709999,52.136436,699400
2020-01-10,52.709999,52.930000,51.970001,52.070000,51.503399,656300
2020-01-13,52.070000,52.250000,51.820000,52.099998,51.533070,742900
2020-01-14,51.990002,52.290001,51.840000,52.029999,51.463829,889000
2020-01-15,51.880001,52.160000,51.610001,51.680000,51.117641,892300
2020-01-16,51.910000,52.349998,51.820000,52.139999,51.572636,688100
2020-01-17,52.290001,52.669998,52.209999,52.389999,51.819916,1064000
2020-01-21,52.220001,52.360001,51.470001,51.500000,50.939598,1155200
2020-01-22,51.619999,51.919998,51.540001,51.880001,51.315464,1085300
2020-01-23,51.470001,51.740002,50.799999,51.459999,50.900032,1009100
2020-01-24,51.470001,51.599998,51.060001,51.349998,50.791229,650500
2020-01-27,50.419998,51.150002,50.250000,50.790001,50.237331,745200
2020-01-28,50.990002,51.869999,50.990002,51.490002,50.929710,841500
2020-01-29,51.610001,51.990002,51.430000,51.669998,51.107750,679500
2020-01-30,51.200001,52.470001,51.200001,52.380001,51.810028,880900
2020-01-31,51.990002,52.259998,51.259998,51.450001,50.890148,1024300
2020-02-03,51.709999,52.759998,51.639999,52.400002,51.829815,824100
2020-02-04,53.000000,53.540001,52.680000,52.730000,52.156216,773400
2020-02-05,53.520000,53.869999,53.250000,53.580002,52.996964,1405200
2020-02-06,53.790001,53.980000,53.270000,53.310001,52.729908,679300
2020-02-07,53.080002,53.549999,52.830002,53.250000,52.670563,800000
2020-02-10,56.880001,56.880001,54.599998,55.810001,55.202705,1263300
2020-02-11,55.880001,56.119999,54.639999,54.720001,54.124561,917900
2020-02-12,54.820000,54.950001,53.880001,53.930000,53.343159,767200
2020-02-13,53.779999,54.130001,53.590000,54.060001,53.471745,838100
2020-02-14,54.009998,54.230000,53.660000,54.189999,53.600323,930300
2020-02-18,53.959999,54.060001,53.340000,53.700001,53.115662,681800
2020-02-19,53.840000,54.099998,53.700001,53.709999,53.125549,704200
2020-02-20,53.529999,54.119999,53.529999,53.889999,53.303593,751000
2020-02-21,53.650002,53.860001,53.139999,53.630001,53.046421,1096200
2020-02-24,52.310001,52.840000,52.220001,52.330002,51.760571,1106700
2020-02-25,52.330002,52.330002,50.279999,50.360001,49.872051,1200400
2020-02-26,50.750000,51.020000,48.880001,48.950001,48.475708,1616300
2020-02-27,48.119999,48.330002,46.209999,46.209999,45.762257,1911700
2020-02-28,44.880001,45.650002,43.970001,45.630001,45.187878,3377400
2020-03-02,45.669998,48.709999,45.549999,48.689999,48.218224,1988900
2020-03-03,48.259998,49.049999,46.860001,47.080002,46.623825,1682300
2020-03-04,47.900002,48.580002,46.820000,48.500000,48.030067,1052100
2020-03-05,46.790001,47.150002,45.180000,45.529999,45.088840,1604800
2020-03-06,43.730000,44.660000,43.209999,44.180000,43.751930,1821300
2020-03-09,41.250000,41.939999,38.630001,39.389999,39.008335,1965200
2020-03-10,40.869999,43.240002,40.259998,43.180000,42.761612,1895600
2020-03-11,41.740002,41.950001,39.490002,39.730000,39.345043,2214800
2020-03-12,36.520000,37.310001,33.180000,33.189999,32.868408,2844000
2020-03-13,35.410000,37.040001,34.169998,37.009998,36.651402,2900100
2020-03-16,32.590000,37.959999,32.220001,33.419998,33.096184,2949100
2020-03-17,34.360001,37.700001,32.250000,36.720001,36.364208,2852000
2020-03-18,33.320000,34.900002,31.660000,34.590000,34.254845,2518400
2020-03-19,34.000000,38.230000,32.000000,37.310001,36.948494,2331800
2020-03-20,37.540001,37.970001,30.870001,31.260000,30.957113,3513800
2020-03-23,31.240000,32.000000,28.520000,29.740000,29.451841,1796900
2020-03-24,31.660000,33.990002,30.510000,33.740002,33.413086,1846200
2020-03-25,33.779999,35.169998,32.240002,33.290001,32.967442,2509900
2020-03-26,33.630001,35.700001,32.720001,35.410000,35.066902,1160100
2020-03-27,33.849998,34.970001,33.029999,33.700001,33.373466,1097900
2020-03-30,33.720001,35.570000,32.900002,35.430000,35.086712,1361700
2020-03-31,34.840000,35.360001,34.369999,34.830002,34.492523,1932400
2020-04-01,32.830002,33.200001,31.870001,32.630001,32.313839,1277700
2020-04-02,32.400002,34.610001,32.150002,33.180000,32.858513,1380000
2020-04-03,32.630001,33.720001,32.380001,32.700001,32.383163,1425100
2020-04-06,34.520000,36.000000,34.240002,35.700001,35.354092,1301500
2020-04-07,37.630001,38.049999,36.180000,36.270000,35.918571,1372300
2020-04-08,36.639999,38.230000,35.980000,37.970001,37.602100,1046500
2020-04-09,38.430000,40.470001,38.430000,39.419998,39.038048,1474500
2020-04-13,39.410000,39.410000,36.980000,37.419998,37.057423,842400
2020-04-14,38.290001,38.520000,36.820000,37.419998,37.057423,1110900
2020-04-15,36.070000,36.290001,34.410000,34.560001,34.225140,1296600
2020-04-16,34.509998,34.590000,32.990002,34.000000,33.670563,1792000
2020-04-17,35.240002,36.380001,34.860001,36.139999,35.789825,1686700
2020-04-20,35.389999,35.950001,34.450001,34.970001,34.631165,1118600
2020-04-21,33.779999,34.490002,33.560001,33.709999,33.383369,867000
2020-04-22,34.540001,34.669998,33.700001,33.770000,33.442799,778300
2020-04-23,33.990002,34.299999,32.869999,32.919998,32.601025,1440000
2020-04-24,33.560001,33.560001,32.160000,32.400002,32.086063,2221000
2020-04-27,32.160000,32.689999,31.379999,32.560001,32.244522,2479700
2020-04-28,33.660000,34.709999,33.330002,34.110001,33.779495,1336900
2020-04-29,35.169998,36.939999,35.160000,36.700001,36.344402,2207400
2020-04-30,36.009998,36.180000,34.529999,34.660000,34.324169,1451300
2020-05-01,33.790001,33.889999,31.540001,31.620001,31.313623,1850000
2020-05-04,31.110001,31.860001,30.129999,31.760000,31.452269,2092100
2020-05-05,32.029999,32.310001,30.700001,30.790001,30.491669,1418100
2020-05-06,30.930000,30.930000,29.530001,29.680000,29.392424,1492100
2020-05-07,30.030001,31.709999,29.900000,30.340000,30.046026,1186000
2020-05-08,30.990000,31.340000,30.360001,31.020000,30.719437,920900
2020-05-11,30.549999,30.549999,29.500000,30.010000,29.719223,1447700
2020-05-12,30.100000,30.129999,29.330000,29.600000,29.313196,1556700
2020-05-13,29.160000,29.420000,28.240000,28.799999,28.520945,2390200
2020-05-14,28.250000,29.440001,27.330000,29.090000,28.808140,1463500
2020-05-15,28.709999,29.889999,28.160000,29.809999,29.521160,4071300
2020-05-18,31.450001,32.090000,31.260000,31.650000,31.343332,1705600
2020-05-19,31.530001,31.730000,31.049999,31.059999,30.759050,1197200
2020-05-20,31.540001,32.439999,31.540001,32.189999,31.878105,1045100
2020-05-21,32.070000,32.459999,31.830000,32.090000,31.779068,1144400
2020-05-22,32.240002,32.279999,31.309999,31.910000,31.600815,846300
2020-05-26,33.279999,33.650002,32.910000,33.040001,32.784592,1011400
2020-05-27,34.380001,34.750000,33.810001,34.240002,33.975315,1070200
2020-05-28,34.689999,34.799999,33.599998,33.779999,33.518871,1021300
2020-05-29,33.270000,33.639999,32.660000,33.240002,32.983044,2610600
2020-06-01,33.160000,33.889999,32.750000,33.770000,33.508953,1000600
